번호,년도,대분류,중분류,소분류,광고주,제품
etc- (329),1973,"금융,보험및 증권",금융 및 보험,은행,조흥은행,근면저축
etc- (330),1973,그룹 및 기업광고,그룹광고,그룹PR,성창합판,새로움을 창조하는 성창합판
etc- (331),1973,그룹 및 기업광고,그룹광고,그룹PR,대성합판,대성합판
etc- (332),1973,관공서 및 단체,단체,공공단체,전매청,"호남,남해 고속도로 준공"
etc- (333),,가정용 전기전자,가정용 전기전자 기타,가정용 전기전자 기타,대우기계,드레스 미싱
etc- (334),1974,식품,조미향신료,조미향신료 기타,미우너통조림,미원표 통조림
etc- (335),,제약 및 의료,대사성의약,자양강장제,(주)유한양행,헤가톤
etc- (336),1974,음료 및 기호식품,알콜음료,맥주,오비맥주(주),OB맥주2
etc- (337),1974,수송기기,수송기기 기타,수송기기 기업PR,현대자동차(주),제7회 아시아 경기대회
etc- (338),1974,음료 및 기호식품,알콜음료,소주,(주)진로,진로
etc- (339),1974,식품,아이스크림,스틱 및 바,대일유업,퍼모스트 우유 아이스크림
etc- (340),1974,음료 및 기호식품,알콜음료,맥주,크라운맥주,보람찬 생활속에 크라운 맥주
etc- (341),,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화학,남성화장품 비크멘스
etc- (342),1974,음료 및 기호식품,알콜음료,포도주 및 과실주,(주)금복주,금복주
etc- (343),1975,제약 및 의료,소화위장약,십이지장 및 위궤양제,일양약품(주),노루모
etc- (344),1975,화장품 및 보건용품,남성 화장품,남성 기초화장품,맨담화장품,맨담 한국화장품공업㈜
etc- (345),1975,그룹 및 기업광고,그룹광고,그룹PR,(주)금복주,제 56회 전국 체육대회
etc- (346),,그룹 및 기업광고,그룹광고,그룹PR,한국투자금융,국내최초의 단자회사
etc- (347),,"금융,보험및 증권",금융 및 보험,은행,산업금융채권,높은수익 비과세
etc- (348),,"금융,보험및 증권",금융 및 보험,은행,산업금융채권,높은수익 비과세
etc- (349),1978,"금융,보험및 증권",금융 및 보험,은행,대한금융단,자유적림예금
etc- (350),1978,"금융,보험및 증권",금융 및 보험,은행,한국투자금융,창립 7주년 기념
etc- (351),1977,"금융,보험및 증권",금융 및 보험,은행,산업금융채권,높은수익 비과세
etc- (352),1978,"금융,보험및 증권",금융 및 보험,은행,대한금융단,저축은 국력
etc- (353),,그룹 및 기업광고,그룹광고,그룹PR,대동공업㈜,대동공업
etc- (354),,그룹 및 기업광고,그룹광고,그룹PR,내무부,불조심
etc- (355),,"금융,보험및 증권",금융 및 보험,은행,산업금융채권,높은수익 산업금융채권
etc- (356),1981,그룹 및 기업광고,그룹광고,그룹PR,포항종합제철(주),850만톤 종합준공
etc- (357),1979,"금융,보험및 증권",금융 및 보험,은행,산업금융채권,비과세 산업금융채권
etc- (358),1982,제약 및 의료,대사성의약,성인 종합영양제,(주)대웅제약,경축 88서울올림픽
etc- (359),1982,음료 및 기호식품,비알콜음료,오렌지주스,(주)펭귄종합식품,펭귄 알알이 오렌지 주스
etc- (360),,화장품 및 보건용품,구강용품,치약,럭키,럭키 화이트F
etc- (361),,화장품 및 보건용품,구강용품,치약,럭키,럭키 페리오치약
etc- (362),1982,화장품 및 보건용품,구강용품,치약,럭키,"페리오, 화이트F, 크리스탈 치약"
etc- (363),1982,제약 및 의료,대사성의약,자양강장제,(주)한일양행,쌍금탕
etc- (364),1982,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",럭키,드봉 샴푸 린스
etc- (365),1983,화학공업,화학제품,화학제품 기타,파이롯트라이터,사용하신분만 아는 빠이롯드 가스라이타
etc- (366),1983,제약 및 의료,진통제 및 안정제,신경안정제,조선무약(자),솔표 우황청심원
etc- (367),1982,"금융,보험및 증권",금융 및 보험,은행,(주)한국장기신용은행,재산증식의 지름길
etc- (368),,화장품 및 보건용품,구강용품,치약,럭키,잇몸질환 충치예방
etc- (369),,화장품 및 보건용품,구강용품,치약,럭키,잇몸에서 피가나고
etc- (370),1983,화학공업,화학제품,화학제품 기타,크라운 라이타,코리아 크라운
etc- (371),1983,"금융,보험및 증권",금융 및 보험,은행,산업금융채권,높은수익 산업금융채권
etc- (372),1983,화학공업,화학제품,화학제품 기타,한국도카이정기㈜,사용하신분만 아는 빠이롯드 가스라이타
etc- (373),1983,그룹 및 기업광고,그룹광고,그룹PR,(주)대우,창립 46주년 기념
etc- (374),1983,"금융,보험및 증권",금융 및 보험,은행,농협협동조합중앙회,계약고의 최고 30배 보장
etc- (375),1983,화장품 및 보건용품,모발 및 목욕용제,세안비누,럭키,상쾌해요 라임향기 화비누
etc- (376),1983,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",럭키,나너샴푸
etc- (377),,제약 및 의료,대사성의약,성인 종합영양제,(주)대웅제약,게므론
etc- (378),,제약 및 의료,소화위장약,십이지장 및 위궤양제,(주)대웅제약,미란타
etc- (379),1983,식품,수산품,수산통조림,동아제분,참치의 참맛 동아 살코기 씨 치킨
etc- (380),1983,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,한국관광공사,83 ASTA한국총회
etc- (381),1984,화장품 및 보건용품,구강용품,치약,럭키,솔트치약
etc- (382),1986,"금융,보험및 증권",금융 및 보험,"할부금융,캐피탈",서울투자금융,을지로 입구 신사옥 이전 기념
etc- (383),1985,화장품 및 보건용품,구강용품,치약,럭키,코니코 치약1
etc- (384),1985,화장품 및 보건용품,구강용품,치약,럭키,코니코 치약2
etc- (385),1985,식품,축산품,햄 및 소시지,한국냉장(주),위생란 햄쏘세지
etc- (386),,"금융,보험및 증권",금융 및 보험,은행,농협협동조합중앙회,도시에서도 농협에서도 
etc- (387),1985,"금융,보험및 증권","금융,보험 및 증권기타","금융,보험 및 증권 기업PR",대한투자금융,확실한주자 행복한 미래
etc- (388),1984,화장품 및 보건용품,구강용품,치약,럭키,럭키 아쿠아 후레시 치약
etc- (389),,제약 및 의료,대사성의약,자양강장제,태평양화학,파낙스 인삼의 진한맛
etc- (390),,"건설,건재 및 부동산",건설,건설,(주)청구,그린맨션
etc- (391),,제약 및 의료,소화위장약,십이지장 및 위궤양제,(주)대웅제약,속쓰린 위장병에 미란타
etc- (392),1984,"금융,보험및 증권",금융 및 보험,은행,국민투자신탁(주),대구지점 개점
etc- (393),1984,화학공업,화학제품,화학제품 기타,크라운전자라이타,주입식 크라운전자라이타
etc- (394),1987,가정용품,악기류,악기류 기타,영도상사,건강파이프 하모니
etc- (395),1987,화장품 및 보건용품,남성 화장품,남성 기초화장품,라미화장품(주),무스탕 바람
etc- (396),1986,화장품 및 보건용품,구강용품,구강청정제,동아제약(주),가그린 민트
etc- (397),,"금융,보험및 증권",금융 및 보험,"할부금융,캐피탈",산업금융채권,산업금융채권
etc- (398),1987,"금융,보험및 증권","금융,보험 및 증권기타","금융,보험 및 증권 기업PR",(주)제일화재해상보험,신용카드로 보험료납입
etc- (399),1987,그룹 및 기업광고,그룹광고,그룹PR,포항종합제철(주),광양제철소준공
etc- (400),1987,수송기기,승합차,소형승합차,현대자동차(주),현대 그레이스
etc- (401),1987,서비스,음식 및 숙박,호텔,(주)워커힐,워커힐쇼 파리온 아이스쇼
etc- (402),1987,화장품 및 보건용품,구강용품,구강청정제,럭키,구강청정제 럭키 에티켓
etc- (403),1987,서비스,음식 및 숙박,호텔,(주)워커힐,사랑의 우대권
etc- (404),1987,"금융,보험및 증권","금융,보험 및 증권기타","금융,보험 및 증권 기업PR",동아투자금융,동아투자금융
etc- (405),1987,그룹 및 기업광고,그룹광고,그룹PR,포항종합제철(주),광양제철소준공2
etc- (406),1988,서비스,음식 및 숙박,호텔,(주)워커힐,허리우드쇼
etc- (407),,제약 및 의료,대사성의약,성인 종합영양제,대웅제약,우루사
etc- (408),1988,제약 및 의료,대사성의약,대사성의약 기타,한국전매공사,홍삼
etc- (409),,제약 및 의료,대사성의약,대사성의약 기타,한국전매공사,홍삼
etc- (410),,"금융,보험및 증권",금융 및 보험,은행,산업금융채권,산업금융채권2
etc- (411),1988,화학공업,화학제품,화학제품 기타,스파크라이타,불과함께 40년
etc- (412),1989,서비스,음식 및 숙박,호텔,(주)워커힐,워커힐스 봉스와 샹젤리제
etc- (413),1989,"금융,보험및 증권","금융,보험 및 증권기타","금융,보험 및 증권 기업PR",증권홍보협의회,증권 투자는 자신의 판단과 책임으로-레드
etc- (414),1989,"금융,보험및 증권","금융,보험 및 증권기타","금융,보험 및 증권 기업PR",증권홍보협의회,증권 투자는 자신의 판단과 책임으로-블루
etc- (415),1989,음료 및 기호식품,알콜음료,소주,보해양조(주),무사카린 보해소주
etc- (416),1989,"금융,보험및 증권",금융 및 보험,투자신탁,동방상호신용금고,500만원이 1년후 571만원
etc- (417),1988,제약 및 의료,대사성의약,대사성의약 기타,한국전매공사,홍삼
etc- (418),1989,"금융,보험및 증권",금융 및 보험,은행,농협협동조합중앙회,"이자도 받고, 보험도 들고"
etc- (419),1989,제약 및 의료,대사성의약,대사성의약 기타,한국담배인삼공사,6년근 홍삼의 기를 마시자
etc- (420),1989,"금융,보험및 증권",금융 및 보험,은행,동방상호신용금고,500만원이 1년후 571만원
etc- (421),1989,제약 및 의료,대사성의약,대사성의약 기타,한국담배인삼공사,6년근 홍삼의 신비를 마시자
etc- (422),1989,"금융,보험및 증권",금융 및 보험,신용카드,비씨카드(주),국내최초 회원200만 돌파
etc- (423),1989,"금융,보험및 증권",금융 및 보험,은행,(주)한국외환은행,자녀를 위한 선물 1~5년제 금융채권
etc- (424),1989,제약 및 의료,대사성의약,대사성의약 기타,한국담배인삼공사,귀한분께 선물하십시오
etc- (425),,식품,수산품,건수산품,기선권현망수산업협동조합,한려수도특산 멸치
etc- (426),1989,화학공업,화학제품,밧데리,한국전자,아트라스
etc- (427),1989,"금융,보험및 증권","금융,보험 및 증권기타","금융,보험 및 증권 기업PR",증권홍보협의회,증권 투자는 자신의 판단과 책임으로-그린
etc- (428),1989,가정용 전기전자,가정용 전기전자 기타 ,가정용 전기전자 기타,광신전자,헤어드라이어 전문메이커
etc- (429),1989,제약 및 의료,대사성의약,대사성의약 기타,한국담배인삼공사,귀한분께 선물하십시오2
etc- (430),1990,제약 및 의료,대사성의약,대사성의약 기타,한국담배인삼공사,홍삼선물세트
etc- (431),1990,"금융,보험및 증권",금융 및 보험,투자신탁,동방상호신용금고,2년후 수익률
etc- (432),1989,"금융,보험및 증권","금융,보험 및 증권기타","금융,보험 및 증권 기업PR",증권홍보협의회,증권 투자는 자신의 판단과 책임으로-그린2
etc- (433),1990,음료 및 기호식품,알콜음료,소주,보해양조(주),무사카린 보해소주
etc- (434),1990,제약 및 의료,제약 및 의료 기타,제약 및 의료 기업PR,(주)중외제약,스로딩
etc- (435),,관공서 및 단체,단체,민간단체,경제단체협의회,우리직장 노사화합 나라발전 초석된다
etc- (436),,제약 및 의료,대사성의약,대사성의약 기타,한국담배인삼공사,미지의 맛 알카리성 건강음료
etc- (437),1990,서비스,서비스 기타,서비스 기업PR,모스크바써커스단,한국최초공연
etc- (438),,제약 및 의료,제약 및 의료 기타,제약 및 의료 제품종합,한국담배인삼공사,강장삼 
etc- (439),,제약 및 의료,대사성의약,대사성의약 기타,한국담배인삼공사,홍삼파워캡슐
etc- (440),,"금융,보험및 증권",금융 및 보험,은행,(주)한국외환은행,체육복권이 나옵니다
etc- (441),,제약 및 의료,대사성의약,성인 종합영양제,(주)대웅제약,우루사 강장해독 피로회복엔
etc- (442),,제약 및 의료,대사성의약,성인 종합영양제,(주)대웅제약,왜 우루사를 선택할까요
etc- (443),,식품,제과,껌,롯데제과(주),입 냄새 싹 후라보노
etc- (444),,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,중소기업협동조합중앙회,제3회 중소기업주간
etc- (445),,제약 및 의료,대사성의약,자양강장제,한국담배인삼공사,홍삼드링크-한국담배인삼공사시제품
etc- (446),,식품,제과,캔디,롯데제과(주),롯데 목캔디
etc- (447),1990,제약 및 의료,진통제 및 안정제,신경안정제,삼성제약공업(주),약수표 마시는 우황청심원
etc- (448),1991,화학공업,화학제품,필름,천우필름,개벽 언제 이땅엔 개벽의 꽃이피는가
etc- (449),,제약 및 의료,진통제 및 안정제,신경안정제,삼성제약공업(주),약샘표 마시는 우황청심원
etc- (450),1991,"금융,보험및 증권",금융 및 보험,은행,(주)하나은행,하나은행 7월15일 개점
etc- (451),,제약 및 의료,대사성의약,대사성의약 기타,한국담배인삼공사,빨간 홍삼원으로 게삽시다
etc- (452),,제약 및 의료,대사성의약,간장치료제,삼성제약공업(주),"휴가,피로 지친 간장에 쓸기담"
etc- (453),1991,제약 및 의료,대사성의약,대사성의약 기타,한국담배인삼공사,홍삼선물세트
etc- (454),1991,제약 및 의료,진통제 및 안정제,신경안정제,삼성제약공업(주),약샘표 마시는 삼성 우황청심원
etc- (455),1991,"금융,보험및 증권",금융 및 보험,은행,(주)아주상호신용금고,아주복리 예수금 54.90%
etc- (456),1991,컴퓨터 및 정보통신,통신망,통신망 기타,한글자판전화기,자음판은 위대한 민족의 상징입니다
etc- (457),1991,"금융,보험및 증권",금융 및 보험,은행,대기상호신용금고,사옥신축이전(92.1)
etc- (458),,컴퓨터 및 정보통신,통신망,국제전화,(주)케이티,국제전화는 역시 001
etc- (459),1991,컴퓨터 및 정보통신,통신망,통신망 기타,(주)엘지데이콤,002 91년12월3일개통
etc- (460),1991,"금융,보험및 증권",금융 및 보험,은행,(주)한국장기신용은행,"장기신용은행 장기신용채권 예금,신탁취급"
etc- (461),,컴퓨터 및 정보통신,통신망,통신망 기타,(주)엘지데이콤,002 91년12월3일개통
etc- (462),1991,"금융,보험및 증권",금융 및 보험,은행,(주)아주상호신용금고,아주복리 예수금 최고의 수익률 58.72%
etc- (463),,컴퓨터 및 정보통신,방송,공중파TV,(주)경향신문사,㈜문화방송 경향신문
etc- (464),,그룹 및 기업광고,그룹광고,그룹PR,(주)중앙일보사,(주)중앙일보 동양방송
etc- (465),,컴퓨터 및 정보통신,방송,공중파TV,부산문화방송(주),부산문화TV방송주식회사
etc- (466),,컴퓨터 및 정보통신,방송,공중파TV,대구문화방송(주),대구문화방송㈜
etc- (467),,컴퓨터 및 정보통신,방송,공중파TV,대전문화방송(주),대전문화방송㈜
etc- (468),,컴퓨터 및 정보통신,방송,공중파TV,광주문화방송(주),광주문화방송㈜
etc- (469),,컴퓨터 및 정보통신,방송,공중파TV,(주)동아일보사,㈜동아일보 동아방송
etc- (470),,컴퓨터 및 정보통신,방송,위성TV,㈜세기광고,㈜세기광고
etc- (471),,그룹 및 기업광고,그룹광고,그룹PR,K프로덕션,K프로덕션
etc- (472),,컴퓨터 및 정보통신,방송,공중파TV,부산문화방송(주),부산문화방송
etc- (473),,그룹 및 기업광고,그룹광고,그룹PR,(주)서울문화사,서울문화
etc- (474),,그룹 및 기업광고,그룹광고,그룹PR,마산문화방송(주),마산문화텔리비젼
etc- (475),,컴퓨터 및 정보통신,방송,공중파TV,주식회사서해방송,주식회사서해방송
etc- (476),,컴퓨터 및 정보통신,방송,공중파TV,청주문화방송(주),청주문화방송
etc- (477),,컴퓨터 및 정보통신,방송,공중파TV,강릉문화방송(주),강릉문화방송
etc- (478),,그룹 및 기업광고,그룹광고,그룹PR,동아제약(주),동아제약
etc- (479),,가정용 전기전자,가사용 전기전자,세탁기,대한전선,대한무지개 세탁기
etc- (480),,식품,면류,봉지 인스턴트 면류,롯데공업,농심라면
etc- (481),,식품,제과,껌,롯데제과(주),환희껌 꽃향기껌
etc- (482),,식품,제과,스낵,해태,차이나크랙카
etc- (483),,그룹 및 기업광고,그룹광고,그룹PR,태평양화학,아모레화장품
etc- (484),,그룹 및 기업광고,그룹광고,그룹PR,(주)제일기획,기업PR
etc- (485),,그룹 및 기업광고,그룹광고,그룹PR,한국연합주식회사,한국연합주식회사
etc- (486),,그룹 및 기업광고,그룹광고,그룹PR,비프로,기업PR
etc- (487),,그룹 및 기업광고,그룹광고,그룹PR,전홍,기업PR
etc- (488),,그룹 및 기업광고,그룹광고,그룹PR,한일광고,한일광고
etc- (489),,그룹 및 기업광고,그룹광고,그룹PR,세기광고,세기광고
etc- (490),,그룹 및 기업광고,그룹광고,그룹PR,영일기획,영일기획
etc- (491),,그룹 및 기업광고,그룹광고,그룹PR,선프로덕션,선프로덕션
etc- (492),,그룹 및 기업광고,그룹광고,그룹PR,동성프로덕션,동성프로덕션
etc- (493),,그룹 및 기업광고,그룹광고,그룹PR,삼성기획,기업PR
etc- (494),,그룹 및 기업광고,그룹광고,그룹PR,삼진필름,삼진필름
etc- (495),,그룹 및 기업광고,그룹광고,그룹PR,이프로덕션,이프로덕션
etc- (496),,그룹 및 기업광고,그룹광고,그룹PR,삼삼기획,삼삼기획
etc- (497),,그룹 및 기업광고,그룹광고,그룹PR,서울오디오,서울오디오
etc- (498),,그룹 및 기업광고,그룹광고,그룹PR,동영기업사 대진실업,동영기업사 대진실업
etc- (499),,그룹 및 기업광고,그룹광고,그룹PR,한국스튜디오,한국스튜디오
etc- (500),,그룹 및 기업광고,그룹광고,그룹PR,동아문고,동아
etc- (501),,그룹 및 기업광고,그룹광고,그룹PR,유니온스튜디오,유니온스튜디오
etc- (502),,그룹 및 기업광고,그룹광고,그룹PR,대영동화제작소,기업PR
etc- (503),,그룹 및 기업광고,그룹광고,그룹PR,동양녹음소,동양녹음소
etc- (504),,그룹 및 기업광고,그룹광고,그룹PR,현대녹음소,현대녹음소
etc- (505),,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,한국방송윤리위원회,기업PR
etc- (506),1961,화장품 및 보건용품,구강용품,치약,태평양화학,다키치약
etc- (507),1961,제약 및 의료,제약 및 의료 기타,제약 및 의료 기업PR,(주)유한양행,버들표
etc- (508),1961,제약 및 의료,근육 및 신경통제,신경통 및 류마티스제,(주)유한양행,스리나
etc- (509),1961,제약 및 의료,소화위장약,변비치료제,(주)유한양행,그로우민
etc- (510),1961,제약 및 의료,두피 및 피부용제,두피 및 피부용제 기타,(주)유한양행,스위터
etc- (511),1961,제약 및 의료,제약 및 의료 기타,제약 및 의료 기타,(주)유한양행,다이크로질
etc- (512),1961,제약 및 의료,제약 및 의료 기타,제약 및 의료 제품종합,(주)유한양행,"오로확,오레오 마이신,썰"
etc- (513),1961,제약 및 의료,제약 및 의료 기타,제약 및 의료 기타,미국 레드리,애크로마이신
etc- (514),1961,제약 및 의료,"백신,구충 및 살충제",살풍 및 방충제,(주)유한양행,유피라진 시
etc- (515),1961,제약 및 의료,소화위장약,소화위장약 기타,(주)유한양행,페니라민
etc- (516),1961,식품,조미향신료,조미료,동아화성공업,미원
etc- (517),1961,제약 및 의료,두피 및 피부용제,피부연고제,(주)유한양행,안도린
etc- (518),1961,가정용 전기전자,가사용 전기전자,가사용 전기전자 기타,신한,아이디알 미싱
etc- (519),1961,제약 및 의료,제약 및 의료 기타,제약 및 의료 기타,(주)유한양행,케미칼
etc- (520),1961,제약 및 의료,두피 및 피부용제,피부연고제,(주)유한양행,오레오 마이신
etc- (521),1961,제약 및 의료,대사성의약,성인 종합영양제,(주)유한양행,비타홈
etc- (524),1962,제약 및 의료,대사성의약,"유,아동용 영양제",(주)유한양행,맘마드
etc- (525),1962,제약 및 의료,대사성의약,성인 종합영양제,(주)유한양행,비타홈
etc-01,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),쥬단학 그리운 화장품
etc-02,,서비스,운송,항공여객운송,(주)대한항공,KOREAN AIR LINES
etc-03,,서비스,운송,항공여객운송,(주)대한항공,KOREAN AIR LINES
etc-04,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),쥬단학 새로본
etc-05,,가정용 전기전자,주방용 전기전자,냉장고,삼성전자(주),삼성냉동냉장고
etc-06,,가정용 전기전자,주방용 전기전자,냉장고,삼성전자(주),삼성냉동냉장고
etc-07,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),쥬단학 새로본
etc-08,,가정용 전기전자,주방용 전기전자,냉장고,대한전선,대한120냉장고
etc-09,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)피어리스,피어리스 피어니
etc-10,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)피어리스,뚜띠의 환희
etc-11,,음료 및 기호식품,비알콜음료,비알콜음료 기타,해태음료(주),써니텐
etc-12,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),순하고 부드러운 쥬단학 화장품
etc-13,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)피어리스,썬파라
etc-14,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),쥬단학 새로본
etc-15,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),바싸스
etc-16,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),쥬단학 그리운 화장품
etc-17,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)피어리스,비엎골드
etc-18,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),하이베스톤 화장품
etc-19,,화장품 및 보건용품,남성 화장품,남성 기초화장품,(주)피어리스,피어리스 남성용 화장품
etc-20,,가정용 전기전자,냉방 및 공기청정기,선풍기,금성사,금성전자 선풍기
etc-21,,가정용 전기전자,주방용 전기전자,냉장고,금성사,금성냉장고
etc-22,,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,라미화장품(주),하이퀸 립스틱
etc-23,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),쥬단학 새로본
etc-24,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)쥬리아,꽃샘 미그린
etc-25,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)피어리스,바이오썬
etc-26,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,라미화장품(주),모이스처 안탄
etc-27,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)쥬리아,두볼
etc-28,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)쥬리아,두볼 써핑콜
etc-29,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)쥬리아,꽃샘 미그린
etc-30,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),쥬단학 베라겐
etc-31,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),쥬단학 새로본
etc-32,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),쥬단학 새로본
etc-33,,가정용 전기전자,가정용 전기전자 기타,가정용 전기전자 기타,금성사,라테캉5
etc-34,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)피어리스,피어리스썬텐
etc-35,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)쥬리아,꽃샘 미그린
etc-36,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)쥬리아,꽃
etc-37,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)피어리스,피어니 썬탠
etc-38,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,삼기양행,오페라샤로니
etc-39,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,꽃샘화장품,두볼
etc-40,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)피어리스,뚜띠의 탄생
etc-41,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),쥬단학 새로본
etc-42,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),쥬단학 새로본
etc-43,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)쥬리아,꽃샘 미그린
etc-44,,패션,패션 기타,패션 기업PR,도레,도레
etc-45,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),쥬단학 베라겐
etc-46,,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,(주)피어리스,피어리스 립스틱
etc-47,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,(주)피어리스,뚜띠의 약속
etc-48,,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,한국화장품(주),하이베스톤 화장품
TELE001,2007,서비스,운송,육상화물운송,(주)통인익스프레스,e통인 익스프레스
TELE002,2007,출판,신문,중앙신문,(주)전자신문사,전자신문
TELE003,2007,출판,신문,경제신문,아시아경제,아시아경제
TELE004,2007,출판,신문,경제신문,(주)서울경제신문,서울경제
TELE005,2007,출판,신문,중앙신문,서울신문사,서울신문
TELE006,2007,출판,신문,중앙신문,(주)디지털타임즈,디지털타임스
TELE007,2007,가정용 전기전자,영상기기,TV,석세스TV,석세스TV
TELE008,2007,서비스,운송,육상화물운송,해동트랜스,서울신문
TELE009,2007,유통,특수유통,전자상거래,우체국,아시아경제
TELE010,2007,서비스,전문서비스,보안서비스,텔레캅서비스(주),한국일보
TELE011,2007,출판,신문,중앙신문,(주)디지털타임즈,디지털타임스
TELE012,2007,출판,신문,중앙신문,서울신문사,서울신문
TELE013,2007,관공서 및 단체,관공서 및 단체 기타,관공서 및 단체 기업PR,한국수력원자력(주),디지털타임스
TELE014,2007,제약 및 의료,의료 및 보건기관,개인병원,실로암 요양 병원,실로암 요양 병원
TELE015,2007,출판,신문,경제신문,아시아경제,아시아경제
TELE016,2007,산업기기,산업기기 기타,산업기기 기업PR,진양F.R.P,진양F.R.P
TELE017,2007,산업기기,산업기기 기타,산업기기 기업PR,이래,이래
TELE018,2007,가정용품,가정용품 기타,가정용품 기업PR,다산,목상자
TELE019,2007,교육 및 복지후생,교육기관,진학입시학원,한양학원,한양학원
TELE020,2007,"건설,건재 및 부동산","건설,건재 및 부동산 기타","건설,건재 및 부동산 기업PR",중앙상사,에폭시.페인트
TELE021,2007,"건설,건재 및 부동산","건설,건재 및 부동산 기타","건설,건재 및 부동산 기업PR",하서양행,컴퓨터 자동조색 시스템
TELE022,2007,유통,대형유통,자동차 테마점,뉴서진 자동차 매매상사,중고자동차 매매
TELE023,2007,"건설,건재 및 부동산","건설,건재 및 부동산 기타","건설,건재 및 부동산 기업PR",대경안전산업,"건설안전장비,안전보호구 일체"
TELE024,2007,출판,신문,중앙신문,(주)한국일보사,서울경제 주간한국
TELE025,2007,"건설,건재 및 부동산",건재,창호,신일금속,"비상문 방화샷다 제작,판매전문"
TELE026,2007,제약 및 의료,의료용품,보청기,노원스타키보청기,100%디지털 최신형 전문점
TELE027,2007,제약 및 의료,의료용품,보청기,(주)동산실업,동산보청기
TELE028,2007,제약 및 의료,의료용품,보청기,독일지멘스보청기,독일지멘스보청기
TELE029,2007,가정용품,난방기기,보일러,미우라보일러,"초슬림 조인터 보일러,인터넷Z보일러"
TELE030,2007,가정용품,난방기기,보일러,린나이코리아(주),린나이 서비스는 확실합니다
TELE031,2007,컴퓨터 및 정보통신,통신기기,휴대폰,솔토전자통신,"모토로라 무전기 총판,무선통신시스템"
TELE032,2007,서비스,개인서비스,직업소개,신우산업관리,경비용역전문
TELE033,2007,"건설,건재 및 부동산","건설,건재 및 부동산 기타","건설,건재 및 부동산 기업PR",(주)케이씨씨,기업PR
TELE034,2007,"건설,건재 및 부동산",건설,건설,(주)다원건설,조립식 건축
TELE035,2007,"건설,건재 및 부동산","건설,건재 및 부동산 기타","건설,건재 및 부동산 기업PR",대아건설(주),전원주택 신축전문
TELE036,1989,서비스,음식 및 숙박,대중음식점,다루마,정통일식 요리전문
TELE037,1989,패션,가방류,가방류 제품종합,쓰리세븐,종합가방
TELE038,1989,패션,가방류,핸드백,조이너스,조이너스 핸드백
TELE039,1989,패션,가방류,가방류 제품종합,펭귄표가방,각종가방 주문생산
TELE040,1989,패션,가방류,가방류 제품종합,스마일가방상사,각종가방 주문생산
